Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946,1324404,"CF Industries Holdings, Inc.",CF,NYSE,.N,CF.N
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847,313927,CHURCH & DWIGHT CO INC /DE/,CHD,NYSE,.N,CHD.N
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905,1043277,"C. H. ROBINSON WORLDWIDE, INC.",CHRW,Nasdaq,.O,CHRW.O
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Nasdaq,.O,CHTR.O
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982,1739940,Cigna Group,CI,NYSE,.N,CI.N
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,21665,COLGATE PALMOLIVE CO,CL,NYSE,.N,CL.N
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,21076,CLOROX CO /DE/,CLX,NYSE,.N,CLX.N
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,1166691,COMCAST CORP,CMCSA,Nasdaq,.O,CMCSA.O
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,1166691,COMCAST CORP,CCZ,NYSE,.N,CMCSA.N
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993,1058090,CHIPOTLE MEXICAN GRILL INC,CMG,NYSE,.N,CMG.N
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,26172,1919,26172,CUMMINS INC,CMI,NYSE,.N,CMI.N
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,811156,CMS ENERGY CORP,CMS,NYSE,.N,CMS.N
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,811156,CMS ENERGY CORP,CMSA,NYSE,.N,CMS.N
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,811156,CMS ENERGY CORP,CMSC,NYSE,.N,CMS.N
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,811156,CMS ENERGY CORP,CMSD,NYSE,.N,CMS.N
