Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023-01-04,1932393,1994,1932393,GE HealthCare Technologies Inc.,GEHC,Nasdaq,.O,GEHC.O
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",2003-03-25,849399,1982,849399,Gen Digital Inc.,GEN,Nasdaq,.O,GEN.O
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024-04-02,1996810,2024,1996810,GE Vernova Inc.,GEV,NYSE,.N,GEV.N
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987,882095,"GILEAD SCIENCES, INC.",GILD,Nasdaq,.O,GILD.O
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,40704,1856,40704,GENERAL MILLS INC,GIS,NYSE,.N,GIS.N
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851,24741,CORNING INC /NY,GLW,NYSE,.N,GLW.N
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908,1467858,General Motors Co,GM,NYSE,.N,GM.N
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1474735,1959,1474735,GENERAC HOLDINGS INC.,GNRC,NYSE,.N,GNRC.N
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,1652044,Alphabet Inc.,GOOGL,Nasdaq,.O,GOOG.O
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,1652044,Alphabet Inc.,GOOG,Nasdaq,.O,GOOG.O
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,1652044,Alphabet Inc.,GOOGL,Nasdaq,.O,GOOGL.O
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,1652044,Alphabet Inc.,GOOG,Nasdaq,.O,GOOGL.O
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",1973-12-31,40987,1925,40987,GENUINE PARTS CO,GPC,NYSE,.N,GPC.N
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989,1121788,GARMIN LTD,GRMN,NYSE,.N,GRMN.N
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,277135,1927,277135,"W.W. GRAINGER, INC.",GWW,NYSE,.N,GWW.N
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,45012,1919,45012,HALLIBURTON CO,HAL,NYSE,.N,HAL.N
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080,1923,46080,"HASBRO, INC.",HAS,Nasdaq,.O,HAS.O
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730,1968,860730,"HCA Healthcare, Inc.",HCA,NYSE,.N,HCA.N
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978,354950,"HOME DEPOT, INC.",HD,NYSE,.N,HD.N
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1984-05-31,4447,1919,4447,HESS CORP,HES,NYSE,.N,HES.N
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,1501585,2011,1501585,"HUNTINGTON INGALLS INDUSTRIES, INC.",HII,NYSE,.N,HII.N
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,1585689,1919,1585689,Hilton Worldwide Holdings Inc.,HLT,NYSE,.N,HLT.N
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737,1985,859737,HOLOGIC INC,HOLX,Nasdaq,.O,HOLX.O
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,773840,1906,773840,HONEYWELL INTERNATIONAL INC,HON,Nasdaq,.O,HON.O
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,1645590,2015,1645590,Hewlett Packard Enterprise Co,HPE,NYSE,.N,HPE.N
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,1645590,2015,1645590,Hewlett Packard Enterprise Co,HPE-PC,NYSE,.N,HPE.N
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,47217,1939 (2015),47217,HP INC,HPQ,NYSE,.N,HPQ.N
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465,1891,48465,HORMEL FOODS CORP /DE/,HRL,NYSE,.N,HRL.N
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228,1932,1000228,HENRY SCHEIN INC,HSIC,Nasdaq,.O,HSIC.O
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750,1993,1070750,"HOST HOTELS & RESORTS, INC.",HST,Nasdaq,.O,HST.O
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111,1894,47111,HERSHEY CO,HSY,NYSE,.N,HSY.N
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023-10-18,48898,1888,48898,HUBBELL INC,HUBB,NYSE,.N,HUBB.N
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071,1961,49071,HUMANA INC,HUM,NYSE,.N,HUM.N
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016-10-21,4281,1888,4281,Howmet Aerospace Inc.,HWM,NYSE,.N,HWM.N
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016-10-21,4281,1888,4281,Howmet Aerospace Inc.,HWM-P,NYSE,.N,HWM.N
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911,51143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,NYSE,.N,IBM.N
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,1983,874716,IDEXX LABORATORIES INC /DE,IDXX,Nasdaq,.O,IDXX.O
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101,1988,832101,IDEX CORP /DE/,IEX,NYSE,.N,IEX.N
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958 (1889),51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,NYSE,.N,IFF.N
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169,1991,879169,INCYTE CORP,INCY,Nasdaq,.O,INCY.O
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968,50863,INTEL CORP,INTC,Nasdaq,.O,INTC.O
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983,896878,INTUIT INC.,INTU,Nasdaq,.O,INTU.O
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012,1687229,Invitation Homes Inc.,INVH,NYSE,.N,INVH.N
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434,1898,51434,INTERNATIONAL PAPER CO /NEW/,IP,NYSE,.N,IP.N
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434,1898,51434,INTERNATIONAL PAPER CO /NEW/,INPAP,OTC,.PK,IP.PK
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1992-10-01,51644,1961 (1930),51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IPG,NYSE,.N,IPG.N
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982,1478242,IQVIA HOLDINGS INC.,IQV,NYSE,.N,IQV.N
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,1699150,1859,1699150,Ingersoll Rand Inc.,IR,NYSE,.N,IR.N
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569,1951,1020569,IRON MOUNTAIN INC,IRM,NYSE,.N,IRM.N
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995,1035267,INTUITIVE SURGICAL INC,ISRG,Nasdaq,.O,ISRG.O
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979,749251,GARTNER INC,IT,NYSE,.N,IT.N
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,49826,1912,49826,ILLINOIS TOOL WORKS INC,ITW,NYSE,.N,ITW.N
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947,52988,JACOBS SOLUTIONS INC.,J,NYSE,.N,J.N
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,728535,1961,728535,HUNT J B TRANSPORT SERVICES INC,JBHT,Nasdaq,.O,JBHT.O
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",2023-12-18,898293,1966,898293,JABIL INC,JBL,NYSE,.N,JBL.N
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444,1885,833444,Johnson Controls International plc,JCI,NYSE,.N,JCI.N
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,200406,JOHNSON & JOHNSON,JNJ,NYSE,.N,JNJ.N
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604,1996,1043604,JUNIPER NETWORKS INC,JNPR,NYSE,.N,JNPR.N
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1989-09-11,55067,1906,55067,KELLANOVA,K,NYSE,.N,K.N
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1418135,1981,1418135,Keurig Dr Pepper Inc.,KDP,Nasdaq,.O,KDP.O
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014 (1939),1601046,"Keysight Technologies, Inc.",KEYS,NYSE,.N,KEYS.N
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869),1637459,Kraft Heinz Co,KHC,Nasdaq,.O,KHC.O
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101,1958,879101,KIMCO REALTY CORP,KIM,NYSE,.N,KIM.N
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101,1958,879101,KIMCO REALTY CORP,KIM-PM,NYSE,.N,KIM.N
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101,1958,879101,KIMCO REALTY CORP,KIM-PL,NYSE,.N,KIM.N
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101,1958,879101,KIMCO REALTY CORP,KIM-PN,NYSE,.N,KIM.N
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,319201,1975/1977 (1997),319201,KLA CORP,KLAC,Nasdaq,.O,KLAC.O
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872,55785,KIMBERLY CLARK CORP,KMB,NYSE,.N,KMB.N
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,1506307,"KINDER MORGAN, INC.",KMI,NYSE,.N,KMI.N
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,1506307,"KINDER MORGAN, INC.",EP-PC,NYSE,.N,KMI.N
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010-06-28,1170010,1993,1170010,CARMAX INC,KMX,NYSE,.N,KMX.N
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1886,21344,COCA COLA CO,KO,NYSE,.N,KO.N
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883,56873,KROGER CO,KR,NYSE,.N,KR.N
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023-08-25,1944048,2022 (Johnson & Johnson spinoff),1944048,Kenvue Inc.,KVUE,NYSE,.N,KVUE.N
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969,1336920,"Leidos Holdings, Inc.",LDOS,NYSE,.N,LDOS.N
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954,920760,LENNAR CORP /NEW/,LEN,NYSE,.N,LEN.N
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954,920760,LENNAR CORP /NEW/,LEN-B,NYSE,.N,LEN.N
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978,920148,LABCORP HOLDINGS INC.,LH,NYSE,.N,LH.N
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,"2019 (L3 1997, Harris 1895)",202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",LHX,NYSE,.N,LHX.N
LII,Lennox International,Industrials,Building Products,"Richardson, Texas",2024-12-23,1069202,1895,1069202,LENNOX INTERNATIONAL INC,LII,NYSE,.N,LII.N
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1992-07-01,1707925,1879,1707925,LINDE PLC,LIN,Nasdaq,.O,LIN.O
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696,1998,1065696,LKQ CORP,LKQ,Nasdaq,.O,LKQ.O
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876,59478,ELI LILLY & Co,LLY,NYSE,.N,LLY.N
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1957-03-04,936468,1995,936468,LOCKHEED MARTIN CORP,LMT,NYSE,.N,LMT.N
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,352541,ALLIANT ENERGY CORP,LNT,Nasdaq,.O,LNT.O
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959,60667,LOWES COMPANIES INC,LOW,NYSE,.N,LOW.N
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,707549,1980,707549,LAM RESEARCH CORP,LRCX,Nasdaq,.O,LRCX.O
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",2023-10-18,1397187,1998,1397187,lululemon athletica inc.,LULU,Nasdaq,.O,LULU.O
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1994-07-01,92380,1967,92380,SOUTHWEST AIRLINES CO,LUV,NYSE,.N,LUV.N
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514,1988,1300514,LAS VEGAS SANDS CORP,LVS,NYSE,.N,LVS.N
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273,2016 (1950),1679273,"Lamb Weston Holdings, Inc.",LW,NYSE,.N,LW.N
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393,2007,1489393,LyondellBasell Industries N.V.,LYB,NYSE,.N,LYB.N
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010,1335258,"Live Nation Entertainment, Inc.",LYV,NYSE,.N,LYV.N
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016-12-02,912595,1977,912595,MID AMERICA APARTMENT COMMUNITIES INC.,MAA,NYSE,.N,MAA.N
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016-12-02,912595,1977,912595,MID AMERICA APARTMENT COMMUNITIES INC.,MAA-PI,NYSE,.N,MAA.N
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1998-05-29,1048286,1927,1048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,Nasdaq,.O,MAR.O
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996,1929,62996,MASCO CORP /DE/,MAS,NYSE,.N,MAS.N
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940,63908,MCDONALDS CORP,MCD,NYSE,.N,MCD.N
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054,1989,827054,MICROCHIP TECHNOLOGY INC,MCHP,Nasdaq,.O,MCHP.O
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054,1989,827054,MICROCHIP TECHNOLOGY INC,MCHPP,Nasdaq,.O,MCHP.O
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1999-01-13,927653,1833,927653,MCKESSON CORP,MCK,NYSE,.N,MCK.N
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012,1103982,"Mondelez International, Inc.",MDLZ,Nasdaq,.O,MDLZ.O
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103,1949,1613103,Medtronic plc,MDT,NYSE,.N,MDT.N
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,1326801,"Meta Platforms, Inc.",META,Nasdaq,.O,META.O
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570,1986,789570,MGM Resorts International,MGM,NYSE,.N,MGM.N
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968,1878,851968,MOHAWK INDUSTRIES INC,MHK,NYSE,.N,MHK.N
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754,1889,63754,MCCORMICK & CO INC,MKC,NYSE,.N,MKC.N
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754,1889,63754,MCCORMICK & CO INC,MKC-V,NYSE,.N,MKC.N
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993,916076,MARTIN MARIETTA MATERIALS INC,MLM,NYSE,.N,MLM.N
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902,66740,3M CO,MMM,NYSE,.N,MMM.N
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,865752,2012 (1935),865752,Monster Beverage Corp,MNST,Nasdaq,.O,MNST.O
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,764180,"ALTRIA GROUP, INC.",MO,NYSE,.N,MO.N
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022-03-02,1179929,1980,1179929,"MOLINA HEALTHCARE, INC.",MOH,NYSE,.N,MOH.N
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785,2004 (1865 / 1909),1285785,MOSAIC CO,MOS,NYSE,.N,MOS.N
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009 (1887),1510295,Marathon Petroleum Corp,MPC,NYSE,.N,MPC.N
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452,1997,1280452,MONOLITHIC POWER SYSTEMS INC,MPWR,Nasdaq,.O,MPWR.O
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891,310158,"Merck & Co., Inc.",MRK,NYSE,.N,MRK.N
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852,2010,1682852,"Moderna, Inc.",MRNA,Nasdaq,.O,MRNA.O
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,789019,MICROSOFT CORP,MSFT,Nasdaq,.O,MSFT.O
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011),68505,"Motorola Solutions, Inc.",MSI,NYSE,.N,MSI.N
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,891103,1986,891103,"Match Group, Inc.",MTCH,Nasdaq,.O,MTCH.O
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646,1945,1037646,METTLER TOLEDO INTERNATIONAL INC/,MTD,NYSE,.N,MTD.N
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978,723125,MICRON TECHNOLOGY INC,MU,Nasdaq,.O,MU.O
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,2011 (1966),1513761,Norwegian Cruise Line Holdings Ltd.,NCLH,NYSE,.N,NCLH.N
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,72331,1935,72331,NORDSON CORP,NDSN,Nasdaq,.O,NDSN.O
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),753308,NEXTERA ENERGY INC,NEE,NYSE,.N,NEE.N
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),753308,NEXTERA ENERGY INC,NEE-PN,NYSE,.N,NEE.N
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),753308,NEXTERA ENERGY INC,NEE-PR,NYSE,.N,NEE.N
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),753308,NEXTERA ENERGY INC,NEE-PS,NYSE,.N,NEE.N
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),753308,NEXTERA ENERGY INC,NEE-PT,NYSE,.N,NEE.N
NEM,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921,1164727,NEWMONT Corp /DE/,NEM,NYSE,.N,NEM.N
NEM,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921,1164727,NEWMONT Corp /DE/,NEMCL,OTC,.PK,NEM.PK
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,1065280,NETFLIX INC,NFLX,Nasdaq,.O,NFLX.O
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000-11-02,1111711,1912,1111711,NISOURCE INC.,NI,NYSE,.N,NI.N
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964,320187,"NIKE, Inc.",NKE,NYSE,.N,NKE.N
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1957-03-04,1133421,"1994 (Northrop 1939, Grumman 1930)",1133421,NORTHROP GRUMMAN CORP /DE/,NOC,NYSE,.N,NOC.N
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,1373715,2003,1373715,"ServiceNow, Inc.",NOW,NYSE,.N,NOW.N
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871,1992,1013871,"NRG ENERGY, INC.",NRG,NYSE,.N,NRG.N
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",1957-03-04,702165,1881/1894 (1980),702165,NORFOLK SOUTHERN CORP,NSC,NYSE,.N,NSC.N
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,1002047,1992,1002047,"NetApp, Inc.",NTAP,Nasdaq,.O,NTAP.O
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,1940,73309,NUCOR CORP,NUE,NYSE,.N,NUE.N
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,1045810,NVIDIA CORP,NVDA,Nasdaq,.O,NVDA.O
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163,1980,906163,NVR INC,NVR,NYSE,.N,NVR.N
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013 (News Corporation 1980),1564708,NEWS CORP,NWSA,Nasdaq,.O,NWS.O
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013 (News Corporation 1980),1564708,NEWS CORP,NWS,Nasdaq,.O,NWS.O
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013 (News Corporation 1980),1564708,NEWS CORP,NWSA,Nasdaq,.O,NWSA.O
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013 (News Corporation 1980),1564708,NEWS CORP,NWS,Nasdaq,.O,NWSA.O
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1413447,1953,1413447,NXP Semiconductors N.V.,NXPI,Nasdaq,.O,NXPI.O
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969,726728,REALTY INCOME CORP,O,NYSE,.N,O.N
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,878927,1934,878927,"OLD DOMINION FREIGHT LINE, INC.",ODFL,Nasdaq,.O,ODFL.O
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,1906,1039684,ONEOK INC /NEW/,OKE,NYSE,.N,OKE.N
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1997-12-31,29989,1986,29989,OMNICOM GROUP INC.,OMC,NYSE,.N,OMC.N
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022-06-21,1097864,1999,1097864,ON SEMICONDUCTOR CORP,ON,Nasdaq,.O,ON.O
