Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
DLR.N,DLR.N,,,,,,,,,,,,,
DLTR.O,DLTR.O,,,,,,,,,,,,,
DOC.N,DOC.N,,,,,,,,,,,,,
DOV.N,DOV.N,,,,,,,,,,,,,
DOW.N,DOW.N,,,,,,,,,,,,,
DPZ.O,DPZ.O,,,,,,,,,,,,,
DRI.N,DRI.N,,,,,,,,,,,,,
DTE.N,DTE.N,,,,,,,,,,,,,
DTE.N,DTE.N,,,,,,,,,,,,,
DTE.N,DTE.N,,,,,,,,,,,,,
DTE.N,DTE.N,,,,,,,,,,,,,
DUK.N,DUK.N,,,,,,,,,,,,,
DUK.N,DUK.N,,,,,,,,,,,,,
DUK.O,,,,,,,,,,,,,,
DUK.N,DUK.N,,,,,,,,,,,,,
DVA.N,DVA.N,,,,,,,,,,,,,
DVN.N,DVN.N,,,,,,,,,,,,,
DXCM.O,DXCM.O,,,,,,,,,,,,,
EA.O,EA.O,,,,,,,,,,,,,
EBAY.O,EBAY.O,,,,,,,,,,,,,
ECL.N,ECL.N,,,,,,,,,,,,,
ED.N,ED.N,,,,,,,,,,,,,
EFX.N,EFX.N,,,,,,,,,,,,,
EIX.N,EIX.N,,,,,,,,,,,,,
EL.N,EL.N,,,,,,,,,,,,,
ELV.N,ELV.N,,,,,,,,,,,,,
EMN.N,EMN.N,,,,,,,,,,,,,
EMR.N,EMR.N,,,,,,,,,,,,,
ENPH.O,,,,,,,,,,,,,,
EOG.N,EOG.N,,,,,,,,,,,,,
EPAM.N,EPAM.N,,,,,,,,,,,,,
EQIX.O,EQIX.O,,,,,,,,,,,,,
EQR.N,EQR.N,,,,,,,,,,,,,
EQT.N,EQT.N,,,,,,,,,,,,,
ES.N,ES.N,,,,,,,,,,,,,
ESS.N,ESS.N,,,,,,,,,,,,,
ETN.N,ETN.N,,,,,,,,,,,,,
ETR.N,ETR.N,,,,,,,,,,,,,
EVRG.O,EVRG.O,,,,,,,,,,,,,
EW.N,EW.N,,,,,,,,,,,,,
EXC.O,EXC.O,,,,,,,,,,,,,
EXPD.N,EXPD.N,,,,,,,,,,,,,
EXPE.O,EXPE.O,,,,,,,,,,,,,
EXR.N,EXR.N,,,,,,,,,,,,,
F.N,F.N,,,,,,,,,,,,,
F.N,F.N,,,,,,,,,,,,,
F.N,F.N,,,,,,,,,,,,,
F.N,F.N,,,,,,,,,,,,,
FANG.O,,,,,,,,,,,,,,
FAST.O,,,,,,,,,,,,,,
FCX.N,FCX.N,,,,,,,,,,,,,
FDX.N,FDX.N,,,,,,,,,,,,,
FE.N,FE.N,,,,,,,,,,,,,
FFIV.O,FFIV.O,,,,,,,,,,,,,
FICO.N,FICO.N,,,,,,,,,,,,,
FMC.N,FMC.N,,,,,,,,,,,,,
FOX.O,FOX.O,,,,,,,,,,,,,
FOX.O,FOX.O,,,,,,,,,,,,,
FOXA.O,FOXA.O,,,,,,,,,,,,,
FOXA.O,FOXA.O,,,,,,,,,,,,,
FRT.N,FRT.N,,,,,,,,,,,,,
FRT.N,FRT.N,,,,,,,,,,,,,
FSLR.O,FSLR.O,,,,,,,,,,,,,
FTNT.O,FTNT.O,,,,,,,,,,,,,
FTV.N,FTV.N,,,,,,,,,,,,,
GD.N,GD.N,,,,,,,,,,,,,
GDDY.N,GDDY.N,,,,,,,,,,,,,
GE.N,GE.N,,,,,,,,,,,,,
GEHC.O,GEHC.O,,,,,,,,,,,,,
GEN.O,GEN.O,,,,,,,,,,,,,
GEV.N,GEV.N,,,,,,,,,,,,,
GILD.O,GILD.O,,,,,,,,,,,,,
GIS.N,GIS.N,,,,,,,,,,,,,
GLW.N,GLW.N,,,,,,,,,,,,,
GM.N,GM.N,,,,,,,,,,,,,
GNRC.N,GNRC.N,,,,,,,,,,,,,
GOOG.O,GOOG.O,,,,,,,,,,,,,
GOOG.O,GOOG.O,,,,,,,,,,,,,
GOOGL.O,GOOGL.O,,,,,,,,,,,,,
GOOGL.O,GOOGL.O,,,,,,,,,,,,,
GPC.N,GPC.N,,,,,,,,,,,,,
GRMN.N,GRMN.N,,,,,,,,,,,,,
GWW.N,GWW.N,,,,,,,,,,,,,
HAL.N,HAL.N,,,,,,,,,,,,,
HAS.O,HAS.O,,,,,,,,,,,,,
HCA.N,HCA.N,,,,,,,,,,,,,
HD.N,HD.N,,,,,,,,,,,,,
HES.N,HES.N,,,,,,,,,,,,,
HII.N,HII.N,,,,,,,,,,,,,
HLT.N,HLT.N,,,,,,,,,,,,,
HOLX.O,HOLX.O,,,,,,,,,,,,,
HON.O,HON.O,,,,,,,,,,,,,
HPE.N,HPE.N,,,,,,,,,,,,,
HPE.N,HPE.N,,,,,,,,,,,,,
HPQ.N,HPQ.N,,,,,,,,,,,,,
HRL.N,HRL.N,,,,,,,,,,,,,
HSIC.O,HSIC.O,,,,,,,,,,,,,
HST.O,HST.O,,,,,,,,,,,,,
HSY.N,HSY.N,,,,,,,,,,,,,
HUBB.N,HUBB.N,,,,,,,,,,,,,
HUM.N,HUM.N,,,,,,,,,,,,,
HWM.N,HWM.N,,,,,,,,,,,,,
HWM.N,HWM.N,,,,,,,,,,,,,
IBM.N,IBM.N,,,,,,,,,,,,,
IDXX.O,IDXX.O,,,,,,,,,,,,,
IEX.N,IEX.N,,,,,,,,,,,,,
IFF.N,IFF.N,,,,,,,,,,,,,
INCY.O,INCY.O,,,,,,,,,,,,,
INTC.O,INTC.O,,,,,,,,,,,,,
INTU.O,INTU.O,,,,,,,,,,,,,
INVH.N,INVH.N,,,,,,,,,,,,,
IP.N,IP.N,,,,,,,,,,,,,
IP.PK,,,,,,,,,,,,,,
IPG.N,IPG.N,,,,,,,,,,,,,
IQV.N,IQV.N,,,,,,,,,,,,,
IR.N,IR.N,,,,,,,,,,,,,
